#c_date	cloud
9971	0
14759	0
19547	0
24335	0
96382	0
101182	0
105983	0
110783	0
182791	0
187604	0
192418	0
197231	0
269198	0.125
274026	0.125
278853	0
283681	0
355603	0
360446	0
365288	0
370131	0
442006	0
446865	0
451724	0
456583	0
528407	0
533283	0
538160	0
543036	0
614806	0
619701	0
624595	0
629490	0
701204	0.5
706117	0.375
711031	0.25
715944	0.125
787599	0
792533	0
797466	0
802400	0
873992	0
878947	0
883901	0
888856	0
960384	0
965360	0
970337	0
975313	0
1046773	0
1051772	0
1056772	0
1061771	0
1133161	0
1138184	0
1143206	0
1148229	0
1219547	0
1224594	0
1229641	0
1234688	0
1305930	0
1311003	0
1316075	0
1321148	0
1392312	0
1397411	0
1402509	0
1407608	0
1478692	0
1483817	0
1488943	0
1494068	0
1565071	0
1570223	0
1575376	0
1580528	0.5
1651447	0
1656628	0
1661808	0
1666989	0
1737822	0
1743032	0
1748241	0
1753451	0
1824195	0
1829434	0
1834673	0
1839912	0
1910566	0
1915835	0
1921105	0
1926374	0
1996935	0
2002235	0
2007535	0
2012835	0
2083303	0
2088634	0
2093966	0
2099297	0
2169670	0
2175033	0
2180396	0
2185759	0
2256034	0
2261429	0
2266825	0
2272220	0
2342397	0.625
2347825	0.375
2353254	0.25
2358682	0.125
2428759	0
2434220	0
2439682	0
2445143	0
2515119	0
2520614	0
2526110	0
2531605	0
2601477	0
2607007	0
2612536	0
2618066	0
2687834	0
2693398	0
2698963	0
2704527	0
2774190	0
2779789	0
2785389	0
2790988	0
2860544	0
2866179	0
2871813	0
2877448	0
2946897	0
2952567	0
2958238	0
2963908	0
3033248	0
3038955	0
3044661	0
3050368	0
3119598	0
3125341	0
3131085	0
3136828	0
3205947	0
3211727	0
3217507	0
3223287	0
3292295	0.125
3298112	0
3303928	0
3309745	0
3378641	0
3384495	0
3390350	0
3396204	0
3464987	0
3470879	0
3476770	0
3482662	0
3551331	0
3557260	0
3563190	0
3569119	0
3637674	0.125
3643641	0
3649609	0
3655576	0
3724017	0
3730022	0
3736027	0
3742032	0
3810358	0
3816401	0
3822445	0
3828488	0
3896698	0
3902780	0
3908861	0
3914943	0
3983037	0
3989157	0
3995278	0
4001398	0
4069375	0
4075534	0
4081693	0
4087852	0
4155713	0
4161911	0
4168108	0
4174306	0
4242050	0
4248286	0
4254523	0
4260759	0
4328385	0
4334661	0
4340936	0
4347212	0
4414720	0
4421035	0
4427349	0
4433664	0
4501055	0
4507408	0
4513762	0
4520115	0
4587388	0
4593781	0
4600173	0
4606566	0
4673721	0
4680153	0
4686584	0
4693016	0
4760054	0
4766525	0
4772995	0
4779466	0
4846385	0
4852895	0
4859405	0
4865915	0
4932717	0
4939266	0
4945814	0
4952363	0
5019047	0
5025635	0
5032223	0
5038811	0
5105377	0
5112004	0
5118632	0
5125259	0
5191707	0
5198373	0
5205039	0
5211705	0
5278036	0
5284741	0
5291447	0
5298152	0
5364365	0
5371109	0
5377853	0
5384597	0
5450693	0
5457476	0
5464259	0
5471042	0
5537022	0
5543844	0
5550665	0
5557487	0.25
5623349	0
5630210	0
5637070	0
5643931	0
5709677	0
5716576	0
5723475	0
5730374	0
5796004	0
5802942	0
5809879	0
5816817	0
5882331	0
5889307	0
5896284	0.125
5903260	0.125
5968658	0.625
5975673	0.5
5982687	0.125
5989702	0
6054985	0
6062038	0
6069091	0
6076144	0
6141311	0
6148402	0
6155494	0
6162585	0
6227637	0
6234766	0
6241896	0
6249025	0
6313964	0
6321131	0
6328298	0
6335465	0
6400290	0
6407495	0
6414700	0
6421905	0
6486616	0
6493859	0
6501101	0
6508344	0
6572943	0
6580223	0
6587503	0.125
6594783	0.125
6659269	0
6666587	0
6673904	0
6681222	0
6745595	0.25
6752950	0.125
6760305	0
6767660	0
6831922	0.125
6839314	0
6846705	0
6854097	0
6918248	0
6925677	0
6933106	0
6940535	0
7004575	0
7012041	0
7019506	0
7026972	0
7090902	0
7098404	0
7105906	0
7113408	0
7177229	0.125
7184768	0.125
7192306	0.375
7199845	0.5
7263557	0.125
7271132	0.375
7278706	0.5
7286281	0.75
7349884	0
7357495	0
7365105	0
7372716	0
7436212	0
7443859	0
7451505	0
7459152	0
7522540	0.125
7530222	0.125
7537905	0
7545587	0
7608869	0
7616587	0
7624304	0
7632022	0
7695198	0
7702951	0
7710704	0
7718457	0
7781527	0
7789315	0
7797103	0
7804891	0
7867857	1
7875680	1
7883503	0.875
7891326	1
7954187	1
7962045	1
7969902	0.75
7977760	0.625
8040517	1
8048409	1
8056302	1
8064194	1
8126848	0
8134774	0
8142701	0
8150627	0
8213180	0
8221140	0
8229101	0
8237061	0
8299512	0
8307506	0
8315500	0
8323494	0
8385845	0
8393873	0
8401900	0
8409928	0
8472178	0
8480239	0
8488300	0
8496361	0
8558512	0.125
8566606	0
8574700	0
8582794	0
8644846	0
8652973	0
8661100	0
8669227	0
8731181	0
8739341	0
8747500	0
8755660	0
8817517	0
8825709	0
8833900	0
8842092	0
8903854	0.125
8912078	0.375
8920301	0
8928525	0
8990191	0
8998447	0
9006702	0
9014958	0
9076529	0
