#s_date	seeing
0	0.782576
300	0.87281
600	0.746893
900	0.851306
1200	0.720582
1500	0.638887
1800	0.759314
2100	0.724813
2400	0.727565
2700	0.779726
3000	0.920473
3300	0.90396
3600	0.864928
3900	0.660509
4200	0.746622
4500	0.739966
4800	0.789325
5100	0.799369
5400	0.801801
5700	0.741456
6000	0.891175
6300	0.80606
6600	0.838979
6900	0.986963
7200	0.957821
7500	0.833119
7800	0.828625
8100	0.897648
8400	0.931746
8700	0.87705
9000	0.946995
9300	0.83778
9600	0.730248
9900	0.728562
10200	0.74412
10500	0.794419
10800	0.859836
11100	0.848541
11400	0.866285
11700	0.869226
12000	0.791241
12300	0.859965
12600	0.853067
12900	0.928894
13200	1.06449
13500	1.08925
13800	1.13285
14100	1.0348
14400	0.971049
14700	0.884227
15000	0.834719
15300	0.83599
15600	0.867035
15900	0.901822
16200	0.758857
16500	0.715912
16800	0.792407
17100	0.68301
17400	0.626298
17700	0.589251
18000	0.630708
18300	0.611825
18600	0.652522
18900	0.68099
19200	0.711073
19500	0.648185
19800	0.606495
20100	0.521022
20400	0.456621
20700	0.536465
21000	0.543263
21300	0.520864
21600	0.525794
21900	0.563242
22200	0.56785
22500	0.673281
22800	0.70716
23100	0.610385
23400	0.587209
23700	0.575707
24000	0.650411
24300	0.71975
24600	0.690439
24900	0.697275
25200	0.752447
25500	0.721589
25800	0.713558
26100	0.609025
26400	0.612342
26700	0.755643
27000	0.672683
27300	0.606334
27600	0.66505
27900	0.568142
28200	0.570764
28500	0.573419
28800	0.531485
29100	0.58641
29400	0.705503
29700	0.821416
30000	0.704506
30300	0.721053
30600	0.694118
30900	0.751267
31200	0.753213
31500	0.764944
31800	0.765817
32100	0.782384
32400	0.677304
32700	0.70468
33000	0.761517
33300	0.738344
33600	0.688245
33900	0.67486
34200	0.753261
34500	0.700221
34800	0.643258
35100	0.713195
35400	0.84323
35700	0.819366
36000	0.843615
36300	0.912406
36600	0.901943
36900	0.986729
37200	0.949959
37500	1.00457
37800	0.972801
38100	0.900609
38400	0.840188
38700	0.857172
39000	0.85497
39300	0.740067
39600	0.658788
39900	0.637564
40200	0.645614
40500	0.645937
40800	0.676316
41100	0.779369
41400	0.742901
41700	0.760145
42000	0.662874
42300	0.574828
42600	0.499617
42900	0.560804
43200	0.456681
43500	0.474068
43800	0.490234
44100	0.535512
44400	0.610069
44700	0.645047
45000	0.650032
45300	0.634029
45600	0.613766
45900	0.597367
46200	0.672226
46500	0.587813
46800	0.512049
47100	0.473135
47400	0.495117
47700	0.527717
48000	0.509671
48300	0.468763
48600	0.472584
48900	0.465686
49200	0.498488
49500	0.475705
49800	0.544118
50100	0.618813
50400	0.612867
50700	0.651382
51000	0.711037
51300	0.73219
51600	0.702388
51900	0.740172
52200	0.797369
52500	0.813022
52800	0.853252
53100	0.881914
53400	0.875781
53700	0.88471
54000	0.807842
54300	0.827856
54600	0.761665
54900	0.817176
55200	0.91913
55500	0.863771
55800	0.718856
56100	0.667023
56400	0.769272
56700	0.71587
57000	0.719718
57300	0.829073
57600	0.850601
57900	0.766747
58200	0.70772
58500	0.711826
58800	0.811572
59100	0.695202
59400	0.645247
59700	0.676327
60000	0.776295
60300	0.690588
60600	0.73437
60900	0.796872
61200	0.792562
61500	0.724516
61800	0.725022
62100	0.755161
62400	0.715144
62700	0.629834
63000	0.651557
63300	0.694299
63600	0.710021
63900	0.665442
64200	0.556238
64500	0.576692
64800	0.683034
65100	0.658705
65400	0.637602
65700	0.576489
66000	0.712422
66300	0.721887
66600	0.688688
66900	0.766508
67200	0.790772
67500	0.862419
67800	1.01153
68100	0.882395
68400	0.906399
68700	0.760477
69000	0.735816
69300	0.698607
69600	0.68681
69900	0.649304
70200	0.585004
70500	0.621649
70800	0.721998
71100	0.823607
71400	0.761453
71700	0.669928
72000	0.754906
72300	0.732513
72600	0.766959
72900	0.80065
73200	0.702107
73500	0.673391
73800	0.761656
74100	0.711703
74400	0.708981
74700	0.798472
75000	0.817921
75300	0.859432
75600	0.64861
75900	0.605493
76200	0.595002
76500	0.55802
76800	0.646009
77100	0.687064
77400	0.646481
77700	0.693518
78000	0.673142
78300	0.651514
78600	0.649259
78900	0.689232
79200	0.659745
79500	0.727997
79800	0.666368
80100	0.69944
80400	0.695085
80700	0.650633
81000	0.622049
81300	0.64244
81600	0.674768
81900	0.573656
82200	0.555656
82500	0.59331
82800	0.520267
83100	0.515843
83400	0.571468
83700	0.670491
84000	0.605053
84300	0.654292
84600	0.708083
84900	0.61861
85200	0.606033
85500	0.633947
85800	0.676168
86100	0.656135
86400	0.699157
86700	0.683389
87000	0.664249
87300	0.703303
87600	0.773666
87900	0.69709
88200	0.705292
88500	0.707362
88800	0.732356
89100	0.775481
89400	0.866146
89700	0.701202
90000	0.737822
90300	0.777278
90600	0.782034
90900	0.729082
91200	0.729191
91500	0.758626
91800	0.773694
92100	0.82592
92400	0.820377
92700	0.743899
93000	0.731578
93300	0.787573
93600	0.817016
93900	0.808682
94200	0.810252
94500	0.787761
94800	0.76719
95100	0.844614
95400	0.910345
95700	0.971726
96000	0.834069
96300	0.744377
96600	0.73493
96900	0.692606
97200	0.720493
97500	0.740917
97800	0.763452
98100	0.738045
98400	0.661983
98700	0.65601
99000	0.577687
99300	0.538182
99600	0.552589
99900	0.63228
100200	0.660546
100500	0.707112
100800	0.670519
101100	0.808201
101400	0.856277
101700	0.794629
102000	0.851322
102300	0.836075
102600	0.802488
102900	0.750889
103200	0.803781
103500	0.780983
103800	0.799161
104100	0.719359
104400	0.759097
104700	0.842592
105000	0.796904
105300	0.815668
105600	0.812226
105900	0.835591
106200	0.896745
106500	0.917012
106800	0.957361
107100	0.823621
107400	0.727616
107700	0.799278
108000	0.880658
108300	0.876696
108600	0.79627
108900	0.847355
109200	0.893426
109500	0.779375
109800	0.765991
110100	0.822518
110400	0.859864
110700	0.765592
111000	0.702391
111300	0.847362
111600	0.848281
111900	0.804404
112200	0.77149
112500	0.786077
112800	0.673692
113100	0.572264
113400	0.601822
113700	0.608149
114000	0.663232
114300	0.622729
114600	0.615943
114900	0.642996
115200	0.665961
115500	0.692357
115800	0.660314
116100	0.679547
116400	0.770606
116700	0.745946
117000	0.725756
117300	0.699429
117600	0.733917
117900	0.786306
118200	0.850937
118500	0.921243
118800	1.01425
119100	1.02789
119400	0.90006
119700	0.771356
120000	0.741118
120300	0.80457
120600	0.774359
120900	0.784088
121200	0.796669
121500	0.763725
121800	0.731386
122100	0.740221
122400	0.805984
122700	0.68098
123000	0.627224
123300	0.594892
123600	0.65636
123900	0.629716
124200	0.617667
124500	0.705596
124800	0.712192
125100	0.678901
125400	0.705909
125700	0.670569
126000	0.72724
126300	0.674783
126600	0.816288
126900	0.820755
127200	0.794541
127500	0.721901
127800	0.743594
128100	0.737391
128400	0.695843
128700	0.735551
129000	0.739197
129300	0.720577
129600	0.76495
129900	0.676717
130200	0.704988
130500	0.62426
130800	0.703365
131100	0.80816
131400	0.836055
131700	0.835267
132000	0.717439
132300	0.675895
132600	0.640489
132900	0.532048
133200	0.553856
133500	0.609937
133800	0.591309
134100	0.577519
134400	0.644935
134700	0.607323
135000	0.60668
135300	0.686695
135600	0.669249
135900	0.642211
136200	0.691753
136500	0.690238
136800	0.6856
137100	0.519908
137400	0.533075
137700	0.60934
138000	0.660391
138300	0.689957
138600	0.653734
138900	0.583482
139200	0.635098
139500	0.645718
139800	0.647839
140100	0.705655
140400	0.628342
140700	0.588612
141000	0.587606
141300	0.63071
141600	0.577424
141900	0.588392
142200	0.579703
142500	0.635882
142800	0.63347
143100	0.646209
143400	0.749455
143700	0.756468
144000	0.674795
144300	0.687896
144600	0.780355
144900	0.859423
145200	0.865603
145500	0.820538
145800	0.890645
146100	0.936226
146400	0.865735
146700	0.858731
147000	0.838569
147300	0.780748
147600	0.803505
147900	0.795312
148200	0.877435
148500	0.873593
148800	0.841791
149100	0.774895
149400	0.806283
149700	0.760112
150000	0.852139
150300	0.788439
150600	0.735214
150900	0.800557
151200	0.749671
151500	0.807609
151800	0.945201
152100	0.899519
152400	0.898867
152700	0.930371
153000	0.906835
153300	0.785092
153600	0.817513
153900	0.718642
154200	0.721131
154500	0.735253
154800	0.735898
155100	0.63032
155400	0.62581
155700	0.566252
156000	0.564395
156300	0.627316
156600	0.611916
156900	0.594216
157200	0.669538
157500	0.678638
157800	0.697941
158100	0.630993
158400	0.661899
158700	0.622469
159000	0.624788
159300	0.630126
159600	0.676954
159900	0.65821
160200	0.66627
160500	0.624875
160800	0.587821
161100	0.574852
161400	0.675829
161700	0.585282
162000	0.578712
162300	0.670983
162600	0.692593
162900	0.722727
163200	0.6912
163500	0.735923
163800	0.697798
164100	0.7202
164400	0.793619
164700	0.766335
165000	0.743514
165300	0.636702
165600	0.685301
165900	0.725471
166200	0.751371
166500	0.74499
166800	0.703129
167100	0.596427
167400	0.697516
167700	0.804467
168000	0.886925
168300	0.888066
168600	1.03447
168900	0.937111
169200	1.01827
169500	0.935273
169800	0.965933
170100	1.00614
170400	1.05219
170700	0.888872
171000	0.840766
171300	0.792709
171600	0.926364
171900	0.780122
172200	0.702651
172500	0.794253
172800	0.829713
173100	0.891867
173400	0.850607
173700	0.87017
174000	0.79446
174300	0.819131
174600	0.7267
174900	0.759799
175200	0.726739
175500	0.754174
175800	0.725074
176100	0.81997
176400	0.826179
176700	0.87123
177000	0.829772
177300	0.781393
177600	0.75242
177900	0.695758
178200	0.583529
178500	0.479553
178800	0.520653
179100	0.528326
179400	0.543343
179700	0.554852
180000	0.58754
180300	0.607805
180600	0.612565
180900	0.744478
181200	0.699877
181500	0.83503
181800	0.739606
182100	0.793363
182400	0.708542
182700	0.741742
183000	0.625103
183300	0.637555
183600	0.696523
183900	0.602097
184200	0.566288
184500	0.583664
184800	0.595496
185100	0.630723
185400	0.6027
185700	0.636603
186000	0.6886
186300	0.720842
186600	0.648585
186900	0.653321
187200	0.72669
187500	0.697012
187800	0.688581
188100	0.646759
188400	0.669127
188700	0.656195
189000	0.715472
189300	0.667927
189600	0.679019
189900	0.684818
190200	0.692975
190500	0.646721
190800	0.649529
191100	0.606972
191400	0.630316
191700	0.608045
192000	0.589485
192300	0.607278
192600	0.608728
192900	0.602575
193200	0.642714
193500	0.623538
193800	0.652752
194100	0.621157
194400	0.631349
194700	0.661274
195000	0.621966
195300	0.62922
195600	0.652297
195900	0.728245
196200	0.660501
196500	0.609432
196800	0.675243
197100	0.786249
197400	0.743948
197700	0.745325
198000	0.829447
198300	0.959055
198600	1.07971
198900	1.08777
199200	1.0677
199500	1.01484
199800	1.10607
200100	0.933225
200400	0.893342
200700	1.03676
201000	0.888389
201300	0.896183
201600	0.799957
201900	0.742718
202200	0.870963
202500	0.9961
202800	1.03536
203100	1.01234
203400	1.14575
203700	1.31364
204000	1.27572
204300	1.16174
204600	1.10254
204900	0.961785
205200	0.965066
205500	0.933759
205800	0.86998
206100	0.899946
206400	0.787016
206700	0.672221
207000	0.737159
207300	0.69106
207600	0.745735
207900	0.777927
208200	0.822237
208500	0.799241
208800	0.748329
209100	0.794668
209400	0.743476
209700	0.79898
210000	0.789378
210300	0.714694
210600	0.688089
210900	0.671253
211200	0.715887
211500	0.759286
211800	0.811527
212100	0.839762
212400	0.89623
212700	0.868825
213000	0.906961
213300	0.778812
213600	0.736101
213900	0.778672
214200	0.802751
214500	0.976735
214800	1.0714
215100	0.920466
215400	0.955278
215700	0.992866
216000	0.927566
216300	0.914674
216600	0.995442
216900	1.05138
217200	1.00063
217500	0.917883
217800	0.889578
218100	0.871312
218400	0.956964
218700	0.83918
219000	0.690182
219300	0.695603
219600	0.70451
219900	0.723007
220200	0.71767
220500	0.699682
220800	0.657591
221100	0.587779
221400	0.576431
221700	0.564267
222000	0.589658
222300	0.55536
222600	0.69505
222900	0.732466
223200	0.755509
223500	0.845681
223800	0.85788
224100	0.864173
224400	0.829211
224700	0.829118
225000	0.913335
225300	0.893308
225600	0.848102
225900	0.805082
226200	0.716283
226500	0.729857
226800	0.764904
227100	0.703385
227400	0.663826
227700	0.598774
228000	0.591556
228300	0.630114
228600	0.719951
228900	0.60362
229200	0.547012
229500	0.542882
229800	0.540234
230100	0.501934
230400	0.554456
230700	0.51734
231000	0.531246
231300	0.533844
231600	0.458495
231900	0.479839
232200	0.514145
232500	0.571242
232800	0.692144
233100	0.706172
233400	0.677165
233700	0.777803
234000	0.653985
234300	0.643074
234600	0.729387
234900	0.781625
235200	0.80235
235500	0.869886
235800	0.765808
236100	0.800133
236400	0.825619
236700	0.853354
237000	0.927238
237300	0.994071
237600	0.984196
237900	0.963566
238200	1.03038
238500	0.95819
238800	0.967236
239100	0.9584
239400	0.938448
239700	0.830542
240000	0.953065
240300	0.986019
240600	0.909792
240900	0.825607
241200	0.830295
241500	0.766627
241800	0.861296
242100	0.888846
242400	0.962225
242700	0.827071
243000	0.688894
243300	0.765384
243600	0.85167
243900	0.864622
244200	0.692923
244500	0.672458
244800	0.618868
245100	0.60752
245400	0.552841
245700	0.584309
246000	0.576864
246300	0.606923
246600	0.626291
246900	0.678008
247200	0.636565
247500	0.595342
247800	0.631616
248100	0.628703
248400	0.64493
248700	0.585857
249000	0.683376
249300	0.674615
249600	0.715255
249900	0.645139
250200	0.701548
250500	0.610407
250800	0.623328
251100	0.602246
251400	0.639242
251700	0.575515
252000	0.649258
252300	0.55209
252600	0.58756
